serial_number,user_id,department_code,service_code,district_code,taluk_code,village_code,urban_unit_code,ward_code,block_code,application_date,application_status,last_updated_datetime,application_id,survey_number,subdivision_number,patta_number,role_id,source_code,csc_service_charge,government_service_charge,can_number,dispatch_date,received_date,ip_address,generated_datetime,source_name,renewal_number,workflow_state,igrs_form6_number,return_status,current_subdivision_number,parent_application_id,auto_mutated_flag,is_auto_mutated,igrs_auto_mutation_flag,camp_flag,camp_correction_id,camp_code
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004649,1362,25,8002,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004650,1362,26,8003,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004651,1362,27,8004,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004652,1362,28,8005,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004829,1369,4,7948,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004830,1370,2A,7950,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004831,1370,2B,7768,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004832,1370,2C,7769,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004833,1370,2D,7770,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004834,1371,1A,7771,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004835,1371,1B,7772,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004836,1372,1A1,7774,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004837,1372,1B,7776,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004838,1372,1C1,7777,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004839,1372,1C2,7589,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004840,1377,2A,7778,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004841,1377,2B,7779,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004842,1377,2C,7780,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
