serial_number,user_id,department_code,service_code,district_code,taluk_code,village_code,urban_unit_code,ward_code,block_code,application_date,application_status,last_updated_datetime,application_id,survey_number,subdivision_number,patta_number,role_id,source_code,csc_service_charge,government_service_charge,can_number,dispatch_date,received_date,ip_address,generated_datetime,source_name,renewal_number,workflow_state,igrs_form6_number,return_status,current_subdivision_number,parent_application_id,auto_mutated_flag,is_auto_mutated,igrs_auto_mutation_flag,camp_flag,camp_correction_id,camp_code
2,tut_ramyadevi,01,0153,28,01,001,,103,0015,2022-09-12,02,2022-10-07 12:24:32.33,2022/0153/28/000895,5,4D,60741,0,00,,,133280120437730,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,-,0153,28,01,001,,002,0015,2022-09-28,01,2022-10-11 12:27:49.774,2022/0153/28/000984,1355,2B,7680,0,00,,,202225473787,,,10.236.251.148,,-,1,C,202225473787,S,2B,,,,N,,,
1,tut_ramyadevi,01,0153,28,01,001,,103,0015,2022-10-11,02,2022-11-02 17:53:41.482,2022/0153/28/001095,6,1,60742,0,00,,,133280120778738,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
2,tut_ramyadevi,01,0153,28,01,001,,103,0015,2022-10-11,02,2022-11-02 17:53:41.891,2022/0153/28/001095,6,2,60743,0,00,,,133280120778738,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,01,0153,28,01,001,,102,0015,2022-11-01,01,2022-11-07 11:14:40.294,2022/0153/28/001206,24,3,59117,0,00,,,133280120618026,,,117.216.137.204,,tut_tct_t131_02,1,C,,,,2022/0154/28/000779,,,,,,
4,tut_ramyadevi,01,0153,28,01,001,,002,0015,2022-12-13,01,2022-12-15 17:37:43.63,2022/0153/28/001405,1361,1A1,8061,0,00,,,133281021548256,,,117.216.137.204,,tut_tct_t131_01,0,C,,,,,,,,,,
5,tut_ramyadevi,01,0153,28,01,001,,002,0015,2022-12-13,01,2022-12-15 17:37:44.057,2022/0153/28/001405,1361,1A2,7967,0,00,,,133281021548256,,,117.216.137.204,,tut_tct_t131_01,0,C,,,,,,,,,,
2,tut_ramyadevi,01,0153,28,01,001,,002,0015,2022-12-13,01,2022-12-15 17:37:44.425,2022/0153/28/001405,1361,1D1,7585,0,00,,,133281021548256,,,117.216.137.204,,tut_tct_t131_01,0,C,,,,,,,,,,
1,tut_ramyadevi,01,0153,28,01,001,,002,0015,2022-12-13,01,2022-12-15 17:37:44.794,2022/0153/28/001405,1361,1D2,7730,0,00,,,133281021548256,,,117.216.137.204,,tut_tct_t131_01,0,C,,,,,,,,,,
3,tut_ramyadevi,01,0153,28,01,001,,002,0015,2022-12-13,01,2022-12-15 17:37:45.165,2022/0153/28/001405,1361,1D3,7980,0,00,,,133281021548256,,,117.216.137.204,,tut_tct_t131_01,0,C,,,,,,,,,,
1,tut_ramyadevi,01,0153,28,01,001,,002,0015,2022-12-29,01,2022-12-30 12:56:11.113,2022/0153/28/001479,1372,1C3,7590,0,00,,,133280121716689,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,01,0153,28,01,001,,002,0015,2022-12-30,01,2023-01-04 18:18:27.892,2022/0153/28/001484,1363,0,8011,0,00,,,133280121727556,,,117.216.137.204,,tut_tct_t131_02,1,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004636,1362,11,7932,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004637,1362,12,7933,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004638,1362,13,7934,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
2,tut_prabhakaran,-,0154,28,01,001,,002,0015,2023-05-03,02,2023-09-01 08:13:27.937,2023/0154/28/001257,1358,1G,7909,0,0,,,202328794158,,,10.236.251.149,,-,0,C,202328794158,S,1G,,,,N,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004639,1362,15,7936,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004640,1362,14,7935,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004641,1362,16,7997,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004642,1362,17,7937,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004643,1362,18,7938,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004644,1362,19,65219,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004645,1362,21,7998,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004646,1362,22,7999,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004647,1362,23,8000,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-21,02,2023-08-31 16:36:31.194488,2022/0167/28/004648,1362,24,8001,0,00,,,,,,117.193.201.67,,tut_prabakaranp,0,C,,,,,,,,,,
